ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact
1,Detection,Termination,ID,"penghentian, pemutusan, mengakhiri perjanjian, berakhirnya",0,Low,Mendeteksi keberadaan klausul penghentian.,N/A,Memungkinkan para pihak untuk keluar dari kontrak secara legal jika terjadi kegagalan atau perubahan strategi.
2,Detection,Termination,EN,"termination, terminate, expire, period of notice",0,Low,Mendeteksi keberadaan klausul penghentian.,N/A,Provides a legal exit mechanism preventing perpetual obligations.
3,Detection,Termination,FR,"résiliation, résilier, prendre fin, préavis, expiration",0,Low,Mendeteksi keberadaan klausul penghentian.,N/A,Permet aux parties de mettre fin au contrat légalement.
4,Detection,Payment,ID,"pembayaran, biaya, harga, nilai kontrak, termin, invoice, faktur",0,Low,Mendeteksi klausul pembayaran.,N/A,Menjamin arus kas dan kejelasan nilai ekonomi dari kesepakatan.
5,Detection,Payment,EN,"payment, fees, price, contract value, invoice, billing",0,Low,Mendeteksi klausul pembayaran.,N/A,Ensures cash flow and clarity on the economic value of the agreement.
6,Detection,Payment,FR,"paiement, frais, prix, montant du contrat, facture, facturation, règlement",0,Low,Mendeteksi klausul pembayaran.,N/A,Garantit le flux de trésorerie et la clarté financière.
7,Detection,Liability,ID,"tanggung jawab, ganti rugi, kewajiban, kerugian, kewajiban hukum",0,Low,Mendeteksi klausul tanggung jawab.,N/A,Membatasi eksposur finansial perusahaan jika terjadi kesalahan atau kegagalan.
8,Detection,Liability,EN,"liability, indemnification, hold harmless, damages, responsibility",0,Low,Mendeteksi klausul tanggung jawab.,N/A,Limits financial exposure in case of breaches or failures.
9,Detection,Liability,FR,"responsabilité, indemnisation, dommages-intérêts, réparation, obligation",0,Low,Mendeteksi klausul tanggung jawab.,N/A,Limite l'exposition financière en cas de faute ou d'erreur.
10,Detection,Confidentiality,ID,"kerahasiaan, rahasia, informasi rahasia, non-disclosure",0,Low,Mendeteksi klausul kerahasiaan.,N/A,Melindungi aset intelektual dan rahasia dagang perusahaan.
11,Detection,Confidentiality,EN,"confidentiality, trade secret, non-disclosure, confidential information",0,Low,Mendeteksi klausul kerahasiaan.,N/A,Protects intellectual assets and trade secrets.
12,Detection,Confidentiality,FR,"confidentialité, secret commercial, non-divulgation, informations confidentielles",0,Low,Mendeteksi klausul kerahasiaan.,N/A,Protège les actifs intellectuels et les secrets commerciaux.
13,Detection,Governing Law,ID,"hukum yang berlaku, hukum negara, yurisdiksi, pengadilan",0,Low,Mendeteksi hukum yang mengatur.,N/A,Memberikan kepastian hukum tentang aturan negara mana yang berlaku.
14,Detection,Governing Law,EN,"governing law, applicable law, jurisdiction, prevailing law",0,Low,Mendeteksi hukum yang mengatur.,N/A,Provides legal certainty on which national rules apply.
15,Detection,Governing Law,FR,"loi applicable, juridiction, droit applicable, tribunal compétent",0,Low,Mendeteksi hukum yang mengatur.,N/A,Fournit une certitude juridique sur les règles applicables.
16,Detection,Force Majeure,ID,"keadaan kahar, force majeure, bencana alam, kerusuhan, perang",0,Low,Mendeteksi klausul keadaan kahar.,N/A,Melindungi pihak dari tuntutan jika terjadi kejadian di luar kendali manusia.
17,Detection,Force Majeure,EN,"force majeure, act of god, natural disaster, unforeseeable events",0,Low,Mendeteksi klausul keadaan kahar.,N/A,Protects parties from liability for events beyond human control.
18,Detection,Force Majeure,FR,"force majeure, cas fortuit, catastrophe naturelle, événement imprévisible",0,Low,Mendeteksi klausul keadaan kahar.,N/A,Protège les parties contre la responsabilité en cas d'événements incontrôlables.
19,Detection,Dispute Resolution,ID,"penyelesaian sengketa, arbitrase, pengadilan, mediasi, musyawarah",0,Low,Mendeteksi klausul penyelesaian sengketa.,N/A,Menghindari proses hukum yang berkepanjangan dan mahal.
20,Detection,Dispute Resolution,EN,"dispute resolution, arbitration, mediation, litigation, settlement",0,Low,Mendeteksi klausul penyelesaian sengketa.,N/A,Avoids prolonged and expensive legal proceedings through agreed mechanisms.
21,Detection,Dispute Resolution,FR,"règlement des différends, arbitrage, médiation, litige, résolution",0,Low,Mendeteksi klausul penyelesaian sengketa.,N/A,Évite les procédures judiciaires longues et coûteuses.
22,Detection,Scope of Work,ID,"ruang lingkup, deskripsi pekerjaan, tugas, kewajiban penyedia",0,Low,Mendeteksi klausul ruang lingkup.,N/A,Menghindari 'scope creep' atau pekerjaan tambahan tanpa bayaran.
23,Detection,Scope of Work,EN,"scope of work, sow, description of services, deliverables, duties",0,Low,Mendeteksi klausul ruang lingkup.,N/A,Prevents scope creep and ensures clear expectations for deliverables.
24,Detection,Scope of Work,FR,"portée des travaux, sow, description des services, livrables",0,Low,Mendeteksi klausul ruang lingkup.,N/A,Évite l'augmentation incontrôlée de la portée des travaux.
25,Detection,Intellectual Property,ID,"hak kekayaan intelektual, haki, hak cipta, paten, merek dagang",0,Low,Mendeteksi klausul HAKI.,N/A,Menegaskan kepemilikan atas hasil karya dan inovasi.
26,Detection,Intellectual Property,EN,"intellectual property, ip rights, copyright, patent, trademark, ownership",0,Low,Mendeteksi klausul HAKI.,N/A,Clarifies ownership of creative works and innovations.
27,Detection,Intellectual Property,FR,"propriété intellectuelle, droits d'auteur, brevet, marque, propriété",0,Low,Mendeteksi klausul HAKI.,N/A,Clarifie la propriété des œuvres créatives et des innovations.
28,Detection,Assignment,ID,"pengalihan, penugasan, mentransfer kontrak, delegasi",0,Low,Mendeteksi klausul pengalihan.,N/A,Mencegah pihak lawan mengalihkan kontrak kepada pihak ketiga yang tidak kompeten.
29,Detection,Assignment,EN,"assignment, transfer of rights, delegation, subcontracting",0,Low,Mendeteksi klausul pengalihan.,N/A,Prevents the other party from transferring obligations to an unknown third party.
30,Detection,Assignment,FR,"cession, transfert de droits, délégation, sous-traitance",0,Low,Mendeteksi klausul pengalihan.,N/A,Empêche le transfert des obligations à un tiers inconnu.
31,Detection,Amendment,ID,"perubahan, addendum, revisi, modifikasi kontrak",0,Low,Mendeteksi klausul perubahan.,N/A,Memastikan setiap perubahan kontrak dilakukan secara tertulis dan disepakati.
32,Detection,Amendment,EN,"amendment, modification, addendum, variation, change order",0,Low,Mendeteksi klausul perubahan.,N/A,Ensures all contract changes are documented and mutually agreed upon.
33,Detection,Amendment,FR,"amendement, modification, avenant, variation",0,Low,Mendeteksi klausul perubahan.,N/A,Garantit que les modifications sont documentées et convenues mutuellement.
34,Detection,Insurance,ID,"asuransi, pertanggungan, polis, jaminan perlindungan",0,Low,Mendeteksi klausul asuransi.,N/A,Memastikan ada jaminan finansial dari pihak ketiga jika terjadi insiden.
35,Detection,Insurance,EN,"insurance, professional indemnity, coverage, policy, insured",0,Low,Mendeteksi klausul asuransi.,N/A,Ensures financial backing from third parties in case of major incidents.
36,Detection,Insurance,FR,"assurance, couverture, police d'assurance, assuré",0,Low,Mendeteksi klausul asuransi.,N/A,Assure un soutien financier en cas d'incidents majeurs.
37,Detection,Data Protection,ID,"perlindungan data, privasi, gdpr, data pribadi, pdp",0,Low,Mendeteksi klausul perlindungan data.,N/A,Menghindari denda hukum akibat pelanggaran data pribadi.
38,Detection,Data Protection,EN,"data protection, privacy, gdpr, data privacy, personal data",0,Low,Mendeteksi klausul perlindungan data.,N/A,Avoids legal penalties for data breaches and non-compliance.
39,Detection,Data Protection,FR,"protection des données, vie privée, rgpd, données personnelles",0,Low,Mendeteksi klausul perlindungan data.,N/A,Évite les sanctions légales liées aux violations de données.
40,Detection,Audit Rights,ID,"hak audit, pemeriksaan buku, verifikasi, inspeksi",0,Low,Mendeteksi klausul hak audit.,N/A,Memungkinkan transparansi dan pengecekan kepatuhan pihak lawan.
41,Detection,Audit Rights,EN,"audit rights, right to inspect, verification, examination",0,Low,Mendeteksi klausul hak audit.,N/A,Enables transparency and verification of compliance by the other party.
42,Detection,Audit Rights,FR,"droits d'audit, droit d'inspection, vérification, examen",0,Low,Mendeteksi klausul hak audit.,N/A,Permet la transparence et la vérification de la conformité.
43,Detection,Severability,ID,"keterpisahan, pasal batal, keberlakuan pasal, parsial",0,Low,Mendeteksi klausul keterpisahan.,N/A,Menjaga agar sisa kontrak tetap berlaku meskipun satu pasal dinyatakan ilegal.
44,Detection,Severability,EN,"severability, partial invalidity, survival of clauses, invalidity",0,Low,Mendeteksi klausul keterpisahan.,N/A,Ensures the rest of the contract remains valid even if one clause is struck down.
