ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact
1,Dangerous,Absolute Managing Partner Indemnity,EN,"absolute indemnity, manager hold harmless, no manager liability",20,High,"Indemnifies the managing partner against all claims, including those caused by their own negligence or breach of duty.","Exclude gross negligence, fraud, and willful misconduct from indemnification.",Allows the managing partner to act recklessly without fear of personal financial consequence.
2,Dangerous,Absolute Managing Partner Indemnity,FR,"indemnité absolue associé gérant, absence responsabilité gérant",20,High,"Indemnise le gérant contre toute réclamation, y compris pour ses propres fautes de gestion.","Exclure la négligence grave, la fraude et les fautes intentionnelles de l'indemnisation.",Permet au gérant d'agir de manière imprudente sans craindre de conséquences financières.
3,Dangerous,Absolute Managing Partner Indemnity,ID,"indemnitas mutlak mitra pengelola, pembebasan tanggung jawab pengelola",20,High,"Melindungi mitra pengelola dari semua klaim, termasuk yang disebabkan kelalaian atau pelanggaran tugas mereka sendiri.","Kecualikan kelalaian berat, penipuan, dan kesalahan disengaja dari perlindungan indemnitas.",Memungkinkan mitra pengelola bertindak sembrono tanpa takut akan konsekuensi finansial pribadi.
4,Dangerous,Assign to Competitor,EN,"assign, competitor",25,Critical,Sell contract to your rival.,Prohibit rival assignment.,Loss of position.
5,Dangerous,Assign to Competitor,FR,"cession, concurrent",25,Critical,Vendre le contrat à votre rival.,Interdire la cession aux rivaux.,Perte de position.
6,Dangerous,Assign to Competitor,ID,pengalihan ke saingan,25,Critical,Jual kontrak ke saingan Anda.,Larang pengalihan saingan.,Hilang posisi.
7,Dangerous,Assignment Without Consent,EN,"assignment without consent, transfer, novation, delegate",20,High,Right to assign the contract to another party without your permission.,Require written consent for any assignment.,Client's obligations being transferred to an unknown and potentially unqualified third party.
8,Dangerous,Assignment Without Consent,FR,"cession sans consentement, transfert, novation",20,High,Droit de céder le contrat sans votre permission.,Exiger un consentement écrit.,Obligations transférées à une partie tierce inconnue.
9,Dangerous,Assignment Without Consent,ID,"pengalihan tanpa persetujuan, transfer, novasi, delegasi",20,High,Hak untuk mengalihkan kontrak kepada pihak lain tanpa izin Anda.,Wajibkan persetujuan tertulis untuk pengalihan apa pun.,Kewajiban klien dialihkan kepada pihak ketiga yang tidak dikenal dan berpotensi tidak memenuhi syarat.
10,Dangerous,Automatic Customer Data Deletion,EN,"automatic deletion, erase data, vendor data purge, data destruction",25,Critical,Allows the vendor to delete all customer data immediately upon termination without a grace period.,Require at least 30-90 days transition period for the customer to export their data before deletion.,Total and irreversible loss of critical business data and historical records.
11,Dangerous,Automatic Customer Data Deletion,FR,"suppression automatique données, purge fournisseur, destruction données",25,Critical,Permet au fournisseur de supprimer toutes les données du client immédiatement après la résiliation.,Exiger une période de transition de 30-90 jours pour exporter les données avant suppression.,Perte totale et irréversible de données commerciales critiques et d'historiques.
12,Dangerous,Automatic Customer Data Deletion,ID,"penghapusan data pelanggan otomatis, pembersihan data vendor, pemusnahan data",25,Critical,Mengizinkan vendor menghapus semua data pelanggan segera setelah pemutusan tanpa masa tenggang.,Wajibkan masa transisi minimal 30-90 hari bagi pelanggan untuk mengekspor data sebelum dihapus.,Kehilangan total dan permanen atas data bisnis penting dan catatan historis.
13,Dangerous,Automatic Long-Term Renewal,EN,"automatic renewal, 5 years, evergreen, non-cancelable",25,Critical,The contract renews for very long periods unless notice is given early.,Shorten the renewal to 1 year and the notice to 90 days.,Locked into expensive services that are no longer needed.
14,Dangerous,Automatic Long-Term Renewal,FR,"reconduction automatique, 5 ans, tacite, non résiliable",25,Critical,Le contrat se renouvelle pour de longues périodes sans préavis précoce.,Raccourcir la reconduction à 1 an et le préavis à 90 jours.,Engagement sur des services coûteux et inutiles.
15,Dangerous,Automatic Long-Term Renewal,ID,"perpanjangan otomatis, 5 tahun, evergreen, tidak dapat dibatalkan",25,Critical,Kontrak diperpanjang untuk periode sangat lama kecuali pemberitahuan awal.,Persingkat perpanjangan jadi 1 tahun dan pemberitahuan 90 hari.,Terjebak dalam layanan mahal yang tidak lagi dibutuhkan.
16,Dangerous,Automatic Materiality,EN,"material breach, deemed material, automatically, without notice",20,High,"Any minor breach is automatically considered 'material', allowing for termination.",Define 'material breach' narrowly or require a significant cure period.,Contract being terminated over trivial errors or administrative oversights.
17,Dangerous,Automatic Materiality,FR,"manquement grave, réputé substantiel, automatique, sans préavis",20,High,"Tout manquement mineur est automatiquement jugé 'grave', permettant la résiliation.",Définir les manquements graves de façon étroite ou exiger un délai de grâce.,Résiliation du contrat pour des erreurs triviales ou administratives.
18,Dangerous,Automatic Materiality,ID,"pelanggaran material, dianggap material, otomatis, tanpa pemberitahuan",20,High,"Setiap pelanggaran kecil otomatis dianggap 'material', memungkinkan pemutusan kontrak.",Definisikan 'pelanggaran material' secara sempit atau wajibkan periode perbaikan yang signifikan.,Kontrak diputus karena kesalahan sepele atau pengawasan administratif.
19,Dangerous,Automatic Renewal,EN,"automatic renewal, evergreen clause, self-renewing, automatically renewed",15,Medium,Creates perpetual obligations and prevents competitive re-tendering.,Add a clear opt-out period and written notice requirement.,Creates perpetual obligations and prevents competitive re-tendering.
20,Dangerous,Automatic Renewal,FR,"renouvellement automatique, reconduction tacite, renouvelé automatiquement",15,Medium,Crée des obligations perpétuelles et empêche la remise en concurrence.,Ajouter une période de résiliation claire et une notification écrite.,Creates perpetual obligations and prevents competitive re-tendering.
21,Dangerous,Automatic Renewal,ID,"perpanjangan otomatis, diperpanjang sendiri, secara otomatis, renewal otomatis",15,Medium,Kontrak akan berlanjut terus meskipun Anda ingin berhenti.,Tambahkan syarat pemberitahuan tertulis jika tidak ingin memperpanjang.,Creates perpetual obligations and prevents competitive re-tendering.
22,Dangerous,Automatic Source Code Release,EN,"source code release, automatic escrow, code disclosure",25,Critical,Requires automatic release of source code to the client upon simple technical bugs.,Limit source code release triggers strictly to vendor bankruptcy or complete cessation of business.,High risk of intellectual property theft and loss of software exclusivity.
23,Dangerous,Automatic Source Code Release,FR,"libération automatique code source, séquestre automatique, dépôt code",25,Critical,Exige la libération automatique du code source au client lors de simples bogues techniques.,Limiter les déclencheurs de libération à la faillite ou l'arrêt complet de l'activité du vendeur.,Risque élevé de vol de propriété intellectuelle et perte d'exclusivité du logiciel.
24,Dangerous,Automatic Source Code Release,ID,"pelepasan kode sumber otomatis, escrow kode otomatis, pengungkapan kode",25,Critical,Mengharuskan pelepasan kode sumber secara otomatis kepada klien karena bug teknis sederhana.,Batasi pemicu pelepasan kode sumber secara ketat pada kebangkrutan vendor atau penghentian bisnis total.,Risiko tinggi pencurian kekayaan intelektual dan hilangnya eksklusivitas perangkat lunak.
25,Dangerous,Beta Software Liability Waiver,EN,"beta features, pilot testing, experimental software, no liability",20,High,Waives all vendor liability for damage caused by testing experimental or beta features in production.,"Prohibit the use of beta features in live production environments, or require separate sandboxes.",Data corruption or system crashes caused by untested code with no path for compensation.
26,Dangerous,Beta Software Liability Waiver,FR,"décharge logiciel bêta, phase pilote, logiciel expérimental",20,High,Exclut la responsabilité du fournisseur pour les dommages causés par des fonctionnalités bêta.,Interdire l'usage de fonctionnalités bêta en production ou exiger des environnements de test isolés.,Corruption de données ou pannes causées par du code non testé sans indemnisation.
27,Dangerous,Beta Software Liability Waiver,ID,"pelepasan tanggung jawab software beta, pengujian pilot, perangkat lunak eksperimental",20,High,Melepaskan semua tanggung jawab vendor atas kerusakan yang disebabkan oleh pengujian fitur beta di produksi.,"Larang penggunaan fitur beta di lingkungan produksi aktif, atau wajibkan sandbox terpisah.",Kerusakan data atau sistem mati disebabkan oleh kode tidak teruji tanpa jalur kompensasi.
28,Dangerous,Broad Communication Interception,EN,"intercept, monitor, communications, privacy",20,High,The right to monitor and record all project communications.,Restrict monitoring to security-critical logs only.,Loss of privacy and potential trade secret exposure.
29,Dangerous,Broad Communication Interception,FR,interception large des communications,20,High,Droit de surveiller et d'enregistrer les communications.,Restreindre le monitoring aux logs de sécurité.,Atteinte à la vie privée.
