ID,Category,Clause_Name,Language,Keywords,Risk_Score,Impact_Level,Reason,Recommendation,Business_Impact
595,Dangerous,Unilateral Feature Removal,EN,"remove feature, discontinue functionality, unilateral change, sunset feature",20,High,Lets the vendor remove paid features at any time without credit or notice.,Require notice and a pro-rata refund or equivalent replacement for any removed feature.,Core functionality the business depends on can vanish overnight with no compensation.
596,Dangerous,Unilateral Feature Removal,FR,"suppression unilatérale fonctionnalité, retrait fonction, abandon fonctionnalité",20,High,Permet au fournisseur de retirer des fonctionnalités payantes à tout moment sans préavis ni crédit.,Exiger un préavis et un remboursement au prorata ou un remplacement équivalent.,Une fonctionnalité essentielle peut disparaître du jour au lendemain sans compensation.
597,Dangerous,Unilateral Feature Removal,ID,"penghapusan fitur sepihak, penghentian fungsi, perubahan sepihak",20,High,Mengizinkan vendor menghapus fitur berbayar kapan saja tanpa pemberitahuan atau kompensasi.,Wajibkan pemberitahuan dan pengembalian dana proporsional atau pengganti setara untuk fitur yang dihapus.,Fungsi inti yang diandalkan bisnis dapat hilang seketika tanpa kompensasi.
598,Dangerous,Telemetry Without Consent,EN,"telemetry, usage tracking, data collection, no consent, analytics",20,High,Permits silent collection of detailed usage and device data without explicit consent.,Require opt-in consent and a clear list of what telemetry is collected and why.,Sensitive operational and behavioral data is harvested and potentially monetized without knowledge.
599,Dangerous,Telemetry Without Consent,FR,"télémétrie, suivi d'utilisation, collecte de données, sans consentement",20,High,Autorise la collecte silencieuse de données d'utilisation et d'appareil sans consentement explicite.,Exiger un consentement explicite et la liste des données collectées et de leur finalité.,Des données opérationnelles sensibles sont collectées et potentiellement monétisées à votre insu.
600,Dangerous,Telemetry Without Consent,ID,"telemetri, pelacakan penggunaan, pengumpulan data, tanpa persetujuan",20,High,Mengizinkan pengumpulan diam-diam data penggunaan dan perangkat secara rinci tanpa persetujuan tegas.,Wajibkan persetujuan opt-in dan daftar jelas data telemetri yang dikumpulkan beserta alasannya.,Data operasional dan perilaku sensitif dikumpulkan dan berpotensi dimonetisasi tanpa sepengetahuan Anda.
601,Dangerous,AI Training on Customer Data,EN,"AI training, model training, customer data, machine learning, data reuse",25,Critical,Grants the vendor rights to train AI models on your confidential customer data.,"Prohibit use of customer data for model training without separate, explicit, revocable consent.",Confidential and proprietary data becomes embedded in models that may benefit competitors.
602,Dangerous,AI Training on Customer Data,FR,"entraînement IA, apprentissage modèle, données client, réutilisation données",25,Critical,Accorde au fournisseur le droit d'entraîner des modèles d'IA sur vos données client confidentielles.,Interdire l'usage des données client pour l'entraînement sans consentement explicite et révocable.,Des données confidentielles s'intègrent à des modèles pouvant profiter à vos concurrents.
603,Dangerous,AI Training on Customer Data,ID,"pelatihan AI, pelatihan model, data pelanggan, pembelajaran mesin, penggunaan ulang data",25,Critical,Memberi vendor hak melatih model AI menggunakan data pelanggan rahasia Anda.,"Larang penggunaan data pelanggan untuk pelatihan model tanpa persetujuan terpisah, tegas, dan dapat dicabut.",Data rahasia dan milik perusahaan tertanam dalam model yang mungkin menguntungkan pesaing.
604,Dangerous,Mandatory Cloud Migration,EN,"forced migration, mandatory cloud, platform move, infrastructure change",15,Medium,Forces the customer to migrate platforms at their own cost on the vendor's timeline.,Cap migration costs and require the vendor to fund or assist any forced migration.,Unbudgeted migration projects consume engineering resources and risk downtime.
